series_id,name,units,type,month
A3533855W,"Current Prices ;  Insurance and pension services - Direct insurance, Other",$ Millions,Original,3
A3533707V,Current Prices ;  Insurance and pension services - Reinsurance,$ Millions,Original,3
A3533880X,Current Prices ;  Insurance and pension services - Auxiliary services,$ Millions,Original,3
A3533931L,Current Prices ;  Insurance and pension services - Pension services,$ Millions,Original,3
A3533881A,Current Prices ;  Insurance and pension services - Standardised guarantee services,$ Millions,Original,3
A3533757T,Current Prices ;  Financial services,$ Millions,Original,3
A3533689A,Current Prices ;  Financial services - Explicitly charged and other financial services,$ Millions,Original,3
A3533774V,Current Prices ;  Financial services - Financial Intermediation Services Indirectly Measured,$ Millions,Original,3
A3533818K,Current Prices ;  Charges for the use of intellectual property n.i.e.,$ Millions,Original,3
A3533708W,Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services,$ Millions,Original,3
A3533690K,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services, Software",$ Millions,Original,3
A3533734A,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute computer services, Hardware and design",$ Millions,Original,3
A3533735C,Current Prices ;  Charges for the use of intellectual property n.i.e. - Licences to reproduce and/or distribute audiovisual and related services,$ Millions,Original,3
A3533905J,Current Prices ;  Charges for the use of intellectual property n.i.e. - Outcomes of research and development,$ Millions,Original,3
A3533709X,Current Prices ;  Charges for the use of intellectual property n.i.e. - Franchise and trademarks licensing fees,$ Millions,Original,3
A3534027J,Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges,$ Millions,Original,3
A3533691L,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Royalties on education",$ Millions,Original,3
A3533775W,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Royalties on telecommunication services",$ Millions,Original,3
A3533710J,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Music",$ Millions,Original,3
A3533882C,"Current Prices ;  Charges for the use of intellectual property n.i.e. - Other charges, Other",$ Millions,Original,3
A3533932R,"Current Prices ;  Telecommunications, computer and information services",$ Millions,Original,3
A3534028K,"Current Prices ;  Telecommunications, computer and information services - Telecommunication",$ Millions,Original,3
A3533933T,"Current Prices ;  Telecommunications, computer and information services - Telecommunication, Telephone",$ Millions,Original,3
A3534009C,"Current Prices ;  Telecommunications, computer and information services - Telecommunication, Other",$ Millions,Original,3
A3533836R,"Current Prices ;  Telecommunications, computer and information services - Computer and information services",$ Millions,Original,3
A3534029L,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer",$ Millions,Original,3
A3534030W,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer, Hardware and software consultancy",$ Millions,Original,3
A3533883F,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Computer, Data processing",$ Millions,Original,3
A3534031X,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services",$ Millions,Original,3
A3533736F,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services, Database",$ Millions,Original,3
A3533985V,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Information services, Newsagency subscription",$ Millions,Original,3
A3533711K,"Current Prices ;  Telecommunications, computer and information services - Computer and information services, Other computer and information services",$ Millions,Original,3
A3533792X,Current Prices ;  Other business services,$ Millions,Original,3
A3533986W,Current Prices ;  Other business services - Research and development services,$ Millions,Original,3
A3533692R,Current Prices ;  Other business services - Professional and management consulting services,$ Millions,Original,3
A3533793A,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional services",$ Millions,Original,3
A3533884J,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Legal",$ Millions,Original,3
A3533987X,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Accounting and auditing",$ Millions,Original,3
A3533837T,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Business and management consultancy",$ Millions,Original,3
A3533934V,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Other professional services",$ Millions,Original,3
A3533712L,"Current Prices ;  Other business services - Professional and management consulting services, Legal, accounting, management consulting, public relations and other professional, Management fees n.i.e.",$ Millions,Original,3
A3533988A,"Current Prices ;  Other business services - Professional and management consulting services, Advertising, market research and public opinion polling services",$ Millions,Original,3
A3534010L,"Current Prices ;  Other business services - Technical, trade-related and other business services",$ Millions,Original,3
A3533776X,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services",$ Millions,Original,3
A3533794C,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Architectural",$ Millions,Original,3
A3533885K,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Engineering",$ Millions,Original,3
A3533856X,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Surveying services",$ Millions,Original,3
A3534011R,"Current Prices ;  Other business services - Technical, trade-related and other business services, Architectural, engineering and other technical services, Scientific and other technical services",$ Millions,Original,3
A3533886L,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services",$ Millions,Original,3
A3533989C,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Waste treatment and de-pollution",$ Millions,Original,3
A3533758V,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Incidental to agriculture; forestry and fishing",$ Millions,Original,3
A3534032A,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Incidental to mining; oil and gas extraction",$ Millions,Original,3
A3533857A,"Current Prices ;  Other business services - Technical, trade-related and other business services, Waste treatment and de-pollution, agricultural and mining services, Other on-site processing services",$ Millions,Original,3
A3533819L,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services",$ Millions,Original,3
A3533713R,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Air operational leasing services",$ Millions,Original,3
A3533858C,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Sea operational leasing services",$ Millions,Original,3
A3533964J,"Current Prices ;  Other business services - Technical, trade-related and other business services, Operational leasing services, Other operational leasing services",$ Millions,Original,3
A3533965K,"Current Prices ;  Other business services - Technical, trade-related and other business services, Trade-related commission services",$ Millions,Original,3
A3533935W,"Current Prices ;  Other business services - Technical, trade-related and other business services, Other business services n.i.e.",$ Millions,Original,3
A3533906K,"Current Prices ;  Personal, cultural and recreational services",$ Millions,Original,3
A3534033C,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services",$ Millions,Original,3
A3533820W,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual",$ Millions,Original,3
A3533737J,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Film",$ Millions,Original,3
A3533907L,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Television",$ Millions,Original,3
A3533738K,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Home entertainment royalties",$ Millions,Original,3
A3533777A,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Other audiovisual royalties",$ Millions,Original,3
A3533887R,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Other film, TV and multimedia royalties",$ Millions,Original,3
A3534034F,"Current Prices ;  Personal, cultural and recreational services - Audiovisual and related services, Royalties on film; television; home entertainment and other audiovisual, Other audiovisual n.i.e.",$ Millions,Original,3
A3534035J,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services",$ Millions,Original,3
A3534012T,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Health",$ Millions,Original,3
A3533990L,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services",$ Millions,Original,3
A3533759W,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Consultancy services",$ Millions,Original,3
A3533821X,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Correspondence courses",$ Millions,Original,3
A3533888T,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Services through educational institutions",$ Millions,Original,3
A3533991R,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Education services, Other educational services",$ Millions,Original,3
A3533693T,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational",$ Millions,Original,3
A3534036K,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational, Sporting and entertainment services",$ Millions,Original,3
A3533966L,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational, Off-shore gambling services",$ Millions,Original,3
A3533778C,"Current Prices ;  Personal, cultural and recreational services - Other personal, cultural and recreational services, Other recreational, Other recreational n.i.e.",$ Millions,Original,3
A3533760F,Current Prices ;  Government goods and services n.i.e.,$ Millions,Original,3
A3533859F,Current Prices ;  Government goods and services n.i.e. - Embassies & consulates,$ Millions,Original,3
A3533967R,"Current Prices ;  Government goods and services n.i.e. - Embassies & consulates, Missions expenditure",$ Millions,Original,3
A3533795F,"Current Prices ;  Government goods and services n.i.e. - Embassies & consulates, Employees expenditure",$ Millions,Original,3
A3533761J,Current Prices ;  Government goods and services n.i.e. - Military units & agencies,$ Millions,Original,3
A3533694V,Current Prices ;  Government goods and services n.i.e. - Other,$ Millions,Original,3
A3534013V,Current Prices ;  Gross inward insurance premiums receivable,$ Millions,Original,3
A3533838V,Current Prices ;  Gross inward insurance claims payable,$ Millions,Original,3
A3533695W,Current Prices ;  Tourism related services,$ Millions,Original,3
A3535247C,Current Prices ;  Services credits,$ Millions,Seasonally Adjusted,3
A3535248F,"Current Prices ;  Services credits, Manufacturing services on physical inputs owned by others",$ Millions,Seasonally Adjusted,3
A3535249J,"Current Prices ;  Services credits, Maintenance and repair services n.i.e.",$ Millions,Seasonally Adjusted,3
A3535250T,"Current Prices ;  Services credits, Transport",$ Millions,Seasonally Adjusted,3
A3535251V,"Current Prices ;  Services credits, Passenger transport",$ Millions,Seasonally Adjusted,3
A3535252W,"Current Prices ;  Services credits, Freight transport",$ Millions,Seasonally Adjusted,3
A3535253X,"Current Prices ;  Services credits, Other transport",$ Millions,Seasonally Adjusted,3
A3535254A,"Current Prices ;  Services credits, Postal and courier transport",$ Millions,Seasonally Adjusted,3
A3535255C,"Current Prices ;  Services credits, Travel",$ Millions,Seasonally Adjusted,3
A3535256F,"Current Prices ;  Services credits, Other services",$ Millions,Seasonally Adjusted,3
A3536676V,Current Prices ;  Tourism related services credits,$ Millions,Seasonally Adjusted,3
A3535333X,Current Prices ;  Services credits,$ Millions,Trend,3
A3535334A,"Current Prices ;  Services credits, Manufacturing services on physical inputs owned by others",$ Millions,Trend,3
A3535335C,"Current Prices ;  Services credits, Maintenance and repair services n.i.e.",$ Millions,Trend,3
A3535336F,"Current Prices ;  Services credits, Transport",$ Millions,Trend,3
A3535337J,"Current Prices ;  Services credits, Passenger transport",$ Millions,Trend,3
A3535338K,"Current Prices ;  Services credits, Freight transport",$ Millions,Trend,3
A3535339L,"Current Prices ;  Services credits, Other transport",$ Millions,Trend,3
A3535340W,"Current Prices ;  Services credits, Postal and courier transport",$ Millions,Trend,3
A3535341X,"Current Prices ;  Services credits, Travel",$ Millions,Trend,3
A3535342A,"Current Prices ;  Services credits, Other services",$ Millions,Trend,3
A3536677W,Current Prices ;  Tourism related services credits,$ Millions,Trend,3
A3534842C,Chain Volume Measures ;  Services,$ Millions,Original,3
A3534843F,Chain Volume Measures ;  Manufacturing services on physical inputs owned by others,$ Millions,Original,3
A3534844J,Chain Volume Measures ;  Maintenance and repair services n.i.e.,$ Millions,Original,3
A3534845K,Chain Volume Measures ;  Transport,$ Millions,Original,3
A3534846L,Chain Volume Measures ;  Passenger transport,$ Millions,Original,3
A3534847R,Chain Volume Measures ;  Freight transport,$ Millions,Original,3
A3534848T,Chain Volume Measures ;  Other transport,$ Millions,Original,3
A3534849V,Chain Volume Measures ;  Postal and courier transport,$ Millions,Original,3
A3534850C,Chain Volume Measures ;  Travel,$ Millions,Original,3
A3534855R,Chain Volume Measures ;  Other services,$ Millions,Original,3
A3535093X,Chain Volume Measures ;  Services,$ Millions,Seasonally Adjusted,3
A3535094A,Chain Volume Measures ;  Manufacturing services on physical inputs owned by others,$ Millions,Seasonally Adjusted,3
A3535095C,Chain Volume Measures ;  Maintenance and repair services n.i.e.,$ Millions,Seasonally Adjusted,3
A3535096F,Chain Volume Measures ;  Transport,$ Millions,Seasonally Adjusted,3
